Your search parameters are:
catalog=ANSS
start_time=1989/10/18,00:00:00
end_time=1989/10/25,00:00:00
minimum_magnitude=2.0
maximum_magnitude=10
event_type=E
DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1989/10/18 01:14:55.62,37.1560,-121.9573,-0.40,2.04,Md,7,95,6,0.02,NC,250294
1989/10/18 01:16:19.42,37.1790,-121.9855,7.42,3.50,ML,50,53,3,0.06,NC,10090803
1989/10/18 01:17:25.85,37.1820,-121.9862,6.99,2.53,Md,19,60,2,0.03,NC,10090804
1989/10/18 01:18:35.18,36.9682,-121.7282,11.80,2.10,Md,25,75,3,0.04,NC,250295
1989/10/18 01:19:10.63,37.1850,-122.0510,13.06,2.38,Md,29,60,3,0.08,NC,10090808
1989/10/18 01:19:30.23,37.1757,-122.0238,11.01,2.85,Md,28,45,1,0.06,NC,10090809
1989/10/18 01:19:47.65,36.9990,-121.6603,1.92,2.67,Md,10,110,6,0.05,NC,10090817
1989/10/18 01:19:59.88,37.1390,-121.9165,22.17,3.11,Md,19,155,4,0.15,NC,10090810
1989/10/18 01:20:45.43,37.1245,-121.9878,14.63,2.47,Md,12,71,6,0.06,NC,250296
1989/10/18 01:20:59.57,37.1398,-121.9672,8.02,2.22,Md,20,60,5,0.06,NC,10090811
1989/10/18 01:21:18.69,36.9680,-121.7325,12.34,3.90,ML,45,74,4,0.05,NC,10090815
1989/10/18 01:22:14.14,37.1438,-121.9857,4.92,2.37,Md,10,141,5,0.07,NC,250297
1989/10/18 01:22:44.87,37.1017,-121.9323,9.37,3.30,ML,41,101,8,0.08,NC,10090813
1989/10/18 01:23:52.78,37.1702,-121.9928,6.25,2.62,Md,25,59,3,0.06,NC,10090814
1989/10/18 01:24:33.25,37.1622,-121.9965,8.37,4.01,Md,15,72,3,0.18,NC,250298
1989/10/18 01:24:58.75,36.8147,-121.5323,3.81,3.60,ML,23,118,9,0.06,NC,10090318
1989/10/18 01:25:34.70,37.1312,-121.9875,13.64,3.30,Md,16,68,5,0.06,NC,10090820
1989/10/18 01:26:15.10,37.0785,-121.9002,12.08,2.35,Md,30,56,7,0.06,NC,10090821
1989/10/18 01:26:32.74,37.0455,-121.8832,16.68,3.30,Md,29,68,6,0.04,NC,10090822
1989/10/18 01:27:41.77,37.0503,-121.7887,9.73,2.11,Md,12,70,2,0.07,NC,249613
